影片連結,文字敘述,標籤,上傳日期,置頂,音檔
https://www.tiktok.com/@ld.1003_/video/7549930354770005254?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/14,,som original - ARTE.URBANA 💚
https://www.tiktok.com/@ld.1003_/video/7549559712698649912?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,掰掰,,2025/9/13,,sonido original - 𝒁 𝑴𝑼𝑺𝑰𝑪 𝑪 🎶😈
https://www.tiktok.com/@ld.1003_/video/7549508828522417413?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,一直找不到適合這裙子的音樂 本來想跳手勢舞想說算了,,2025/9/13,,original sound - Travist Silva
https://www.tiktok.com/@ld.1003_/video/7549131026652564792?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,一直沒拍的衣服 Dc: @mama_nyaf,,2025/9/12,,QUERO BAILAO - ALZEEZ & K!LLV & Repsaj
https://www.tiktok.com/@ld.1003_/video/7548743623077137669?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,🌻,,2025/9/11,,son original - aaliyah
https://www.tiktok.com/@ld.1003_/video/7548727007580900613?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/11,,оригинальный звук - Spotify music 🧊
https://www.tiktok.com/@ld.1003_/video/7548326876750613766?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,#06 #fyp,2025/9/10,,nhạc nền - 森林-nhất lý
https://www.tiktok.com/@ld.1003_/video/7547948337681501446?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,先放這個,,2025/9/9,,原聲 - Z
https://www.tiktok.com/@ld.1003_/video/7547948337681501446?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,期限太短所以只能在宿舍拍 dc: @Yulia,,2025/9/9,,WAIT FOR ME - MXZI & DJ YUKU
https://www.tiktok.com/@ld.1003_/video/7547671808401624376?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,開學第一天就走錯教室。。尬的要命,,2025/9/8,,nhạc nền - 玉维💦
https://www.tiktok.com/@ld.1003_/video/7547270496547540280?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,我喜歡這首,,2025/9/7,,suara asli - 𝟑𝟎𝟑 𝐌𝐎𝐈𝐍𝐍 - 𝟑𝟎𝟑 𝐌𝐨𝐢𝐧𝐧。
https://www.tiktok.com/@ld.1003_/video/7546879204881714438?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,都馬,,2025/9/6,,MENTE MÁ - Nakama & Mc Staff
https://www.tiktok.com/@ld.1003_/video/7546508538735070469?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,沒拉,,2025/9/5,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7546149484078632197?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,好睏,,2025/9/4,,原聲 - 芋頭.
https://www.tiktok.com/@ld.1003_/video/7545954431980932357?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,誰睡不著,,2025/9/4,,original sound - 音乐馆🎶
https://www.tiktok.com/@ld.1003_/video/7545828868377120006?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,包切重發了一下😭@Dc:@Nguyễn Huỳnh Tiên,#fyp,2025/9/3,,Sem Rumo - SXID & BRNX
https://www.tiktok.com/@ld.1003_/video/7545752242868063493?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,跳錯了。,,2025/9/3,,nhạc nền - 玉维💦
https://www.tiktok.com/@ld.1003_/video/7545746762187787576?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,我自己編的 本來沒想發,,2025/9/3,,الصوت الأصلي - 𝑍𝑲 𝑴𝑼𝑺𝑰𝑪
https://www.tiktok.com/@ld.1003_/video/7545435584014126392?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,我的臉 ._.,#fyp,2025/9/2,,nhạc nền - Nguyễn Huỳnh Tiên
https://www.tiktok.com/@ld.1003_/video/7545108201981709573?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,太大力了哈哈哈哈,,2025/9/1,,original sound - Ke08
https://www.tiktok.com/@ld.1003_/video/7545083649322945798?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,🤖,,2025/9/1,,原聲 - 77 - 코니
https://www.tiktok.com/@ld.1003_/video/7544719777638419718?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,沒有第二個人可以從鑽出來 只能由我來了,,2025/8/31,,原聲 - 莹珍珠
https://www.tiktok.com/@ld.1003_/video/7544330004730072326?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,粉絲想看的,,2025/8/29,,original sound - 音乐馆🎶
https://www.tiktok.com/@ld.1003_/video/7544257129457241349?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/29,,ACELERADA - sma$her & MXZI
https://www.tiktok.com/@ld.1003_/video/7543920556660346117?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/28,,Gangnam Style Psy - 𝑾𝑬𝑺𝑳𝑳𝑬𝒀𝑮𝑰𝑻𝑶 亗
https://www.tiktok.com/@ld.1003_/video/7543541520394112262?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/27,,Confess Your Love - Jiandro
https://www.tiktok.com/@ld.1003_/video/7543531290465766662?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/27,,original sound - jd ☻
https://www.tiktok.com/@ld.1003_/video/7543257279819222328?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,手上那是畫的 看到有手上那個 就是同一天拍的,,2025/8/28,,原聲 - 優彌💫
https://www.tiktok.com/@ld.1003_/video/7542022340729752837?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,很喜歡編這首的那個人!她超頂,,2025/8/25,TRUE,sonido original - 🐝~Max~🐝
https://www.tiktok.com/@ld.1003_/video/7541698560903974200?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/23,,original sound - dialmye
https://www.tiktok.com/@ld.1003_/video/7541687568350465286?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,"#dothedance,#illit,#fyp,#dance",2025/8/23,,original sound - 静
https://www.tiktok.com/@ld.1003_/video/7540967808247713030?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,我會被我朋友笑,,2025/8/21,,original sound - 音乐馆🎶
https://www.tiktok.com/@ld.1003_/photo/7540652977829252358?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/20,,nhạc nền - 𝘿𝙪𝙘𝘿𝙪𝙮 🎧🎶 - Gia Đình Huấn Hoa Hồng
https://www.tiktok.com/@ld.1003_/video/7539914350727892229?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/18,,оригинальный звук - PSIX
https://www.tiktok.com/@ld.1003_/video/7539443522768850181?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,,,2025/8/17,,RITMO DE SALTO - NXGHT! & BEATHXVEN & VAITO
https://www.tiktok.com/@ld.1003_/video/7539050035019795718?is_from_webapp=1&sender_device=pc&web_id=7542449483972806162,你如何形容我,,2025/8/16,,MONTAGEM XONADA - MXZI & Dj Samir & DJ Javi26
